Raiz_Planta,Tipo_Vocabulario,Folios_Origen_Botanica,Apariciones_en_Recetas,Folios_Destino_Recetas,Etiquetas_Dominantes_en_Recetas
A2Q2K1A1,Comun (Generica),f15v | f16v | f19r | f36r | f37v | f56r,1,f93v (x1),B2:1
A2B1A1,Exclusiva (Nombre Propio),f16r,0,NINGUNO,N/A
Q2A1C1A1,Exclusiva (Nombre Propio),f16r,0,NINGUNO,N/A
D1A1Q1KaA1,Exclusiva (Nombre Propio),f16r,0,NINGUNO,N/A
K1Q1Aa,Exclusiva (Nombre Propio),f16v,0,NINGUNO,N/A
C2A1Q1A3,Exclusiva (Nombre Propio),f16v,1,f113r (x1),B2:1
A1A3A1C1A3,Exclusiva (Nombre Propio),f16v,0,NINGUNO,N/A
B1A2K1J1A3,Exclusiva (Nombre Propio),f17r,0,NINGUNO,N/A
Q2K2A1,Exclusiva (Nombre Propio),f17v,3,f101r (x1) | f103v (x1) | f105r (x1),B2:2 | C1:1
Q1K1A3,Exclusiva (Nombre Propio),f17v,0,NINGUNO,N/A
A1A2Q2A1,Exclusiva (Nombre Propio),f17v,0,NINGUNO,N/A
A1Q1J1A1,Exclusiva (Nombre Propio),f17v,52,f99r (x6) | f89v (x5) | f99v (x5) | f101r (x4) | f102v (x4) | f89r (x3) | f100v (x3) | f107v (x3) | f108r (x3) | f101v (x2) | f102r (x2) | f108v (x2) | f87r (x1) | f88r (x1) | f93r (x1) | f100r (x1) | f103r (x1) | f104v (x1) | f105v (x1) | f106r (x1) | f107r (x1) | f112v (x1),B2:42 | C1:5 | B3:2
A2Q1J1A1,Exclusiva (Nombre Propio),f17v,10,f101r (x3) | f108r (x2) | f88r (x1) | f89r (x1) | f89v (x1) | f96r (x1) | f101v (x1),C1:5 | B2:5
K1K2A1,Exclusiva (Nombre Propio),f17v,19,f104v (x2) | f112v (x2) | f87v (x1) | f88r (x1) | f88v (x1) | f89v (x1) | f90v (x1) | f93v (x1) | f96r (x1) | f100v (x1) | f101v (x1) | f102v (x1) | f104r (x1) | f113r (x1) | f114v (x1) | f115r (x1) | f115v (x1),C1:9 | B2:5 | C2:4
L1J1A1,Comun (Generica),f17v | f42r | f49r | f50r,87,f90v (x7) | f101r (x6) | f104v (x6) | f113r (x6) | f89r (x5) | f89v (x4) | f99r (x4) | f88v (x3) | f90r (x3) | f96r (x3) | f100r (x3) | f103r (x3) | f115r (x3) | f88r (x2) | f102r (x2) | f102v (x2) | f105v (x2) | f106r (x2) | f106v (x2) | f107v (x2) | f108v (x2) | f115v (x2) | f93v (x1) | f95v (x1) | f99v (x1) | f101v (x1) | f103v (x1) | f104r (x1) | f105r (x1) | f107r (x1) | f108r (x1) | f111r (x1) | f111v (x1) | f113v (x1) | f114r (x1),B2:46 | C1:19 | C2:7
A1L1A1,Exclusiva (Nombre Propio),f18r,0,NINGUNO,N/A
A1C2K1J1A1,Exclusiva (Nombre Propio),f19r,0,NINGUNO,N/A
