Folio,Total_Words,Unique_Stems,Identified_Ingredients,Ingredients_List,Best_Match,Best_Overlap,Best_Overlap_Ings,Best_F1,Best_Folio_Cov,Best_Recipe_Cov,Best_Struct_Sim,Second_Match,Second_F1
f106r,420,265,8,Cardamomum | Casia | Cinnamomum | Crocus | Myrrha | Piper longum | Piper nigrum | Saccharum,Trifera Saracenica,7,Cardamomum | Casia | Cinnamomum | Crocus | Myrrha | Piper longum | Piper nigrum,63.6,87.5,50.0,5.3,Electuarium Justinum,63.6
f106v,439,261,6,Cardamomum | Casia | Crocus | Myrrha | Piper longum | Styrax,Philonium Persicum,6,Cardamomum | Casia | Crocus | Myrrha | Piper longum | Styrax,50.0,100.0,33.3,6.9,Trifera Saracenica,50.0
f107r,481,252,5,Cardamomum | Cinnamomum | Crocus | Myrrha | Piper longum,Trifera Saracenica,5,Cardamomum | Cinnamomum | Crocus | Myrrha | Piper longum,52.6,100.0,35.7,5.6,Electuarium Justinum,52.6
f107v,448,222,9,Bdellium | Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,Trifera Saracenica,8,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,69.6,88.9,57.1,6.3,Electuarium Justinum,69.6
f108r,486,254,8,Amomum | Bdellium | Cardamomum | Casia | Crocus | Myrrha | Piper longum | Piper nigrum,Electuarium Justinum,7,Amomum | Cardamomum | Casia | Crocus | Myrrha | Piper longum | Piper nigrum,63.6,87.5,50.0,5.5,Theodoricon Euporistum,56.0
f108v,562,244,7,Amomum | Cardamomum | Casia | Cinnamomum | Crocus | Myrrha | Piper longum,Electuarium Justinum,7,Amomum | Cardamomum | Casia | Cinnamomum | Crocus | Myrrha | Piper longum,66.7,100.0,50.0,5.7,Theodoricon Euporistum,58.3
f111r,602,316,8,Amomum | Bdellium | Cardamomum | Casia | Crocus | Myrrha | Opopanax | Piper longum,Electuarium Justinum,6,Amomum | Cardamomum | Casia | Crocus | Myrrha | Piper longum,54.5,75.0,42.9,4.4,Theodoricon Euporistum,48.0
f111v,553,247,9,Amomum | Bdellium | Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,Electuarium Justinum,8,Amomum | Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,69.6,88.9,57.1,5.7,Theodoricon Euporistum,61.5
f112r,385,224,7,Bdellium | Cardamomum | Casia | Cinnamomum | Crocus | Myrrha | Piper longum,Trifera Saracenica,6,Cardamomum | Casia | Cinnamomum | Crocus | Myrrha | Piper longum,57.1,85.7,42.9,6.2,Electuarium Justinum,57.1
f112v,409,237,8,Bdellium | Casia | Crocus | Galbanum | Mel despumatum | Myrrha | Piper longum | Zingiber,Antidotum Hadriani,6,Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,60.0,75.0,50.0,5.1,Paulinum,57.1
f113r,511,311,12,Amomum | Bdellium | Cardamomum | Casia | Crocus | Galbanum | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Rosa | Zingiber,Electuarium Justinum,9,Amomum | Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,69.2,75.0,64.3,4.5,Theodoricon Euporistum,62.1
f113v,480,257,11,Amomum | Bdellium | Cardamomum | Casia | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,Electuarium Justinum,10,Amomum | Cardamomum | Casia | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,80.0,90.9,71.4,5.4,Trifera Saracenica,72.0
f114r,445,258,9,Cardamomum | Cinnamomum | Crocus | Mel despumatum | Myrrha | Opopanax | Piper longum | Piper nigrum | Zingiber,Philonium Romanum,7,Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,70.0,77.8,63.6,4.3,Trifera Saracenica,69.6
f114v,364,229,8,Bdellium | Cardamomum | Cinnamomum | Crocus | Galbanum | Myrrha | Piper longum | Piper nigrum,Trifera Saracenica,6,Cardamomum | Cinnamomum | Crocus | Myrrha | Piper longum | Piper nigrum,54.5,75.0,42.9,6.1,Electuarium Justinum,54.5
f115r,452,256,9,Amomum | Bdellium | Cardamomum | Casia | Crocus | Galbanum | Myrrha | Piper longum | Rosa,Electuarium Justinum,6,Amomum | Cardamomum | Casia | Crocus | Myrrha | Piper longum,52.2,66.7,42.9,5.5,Theodoricon Euporistum,46.2
f115v,402,266,13,Bdellium | Cardamomum | Cinnamomum | Crocus | Cubeba | Galanga | Galbanum | Mel despumatum | Myrrha | Nux moschata | Piper longum | Piper nigrum | Zingiber,Diasatyrion,8,Cardamomum | Cinnamomum | Crocus | Galanga | Mel despumatum | Nux moschata | Piper longum | Zingiber,59.3,61.5,57.1,5.3,Trifera Saracenica,59.3
f116r,535,232,10,Amomum | Bdellium | Cardamomum | Casia | Crocus | Cubeba | Galanga | Myrrha | Nux moschata | Piper longum,Trifera Magna,10,Amomum | Bdellium | Cardamomum | Casia | Crocus | Cubeba | Galanga | Myrrha | Nux moschata | Piper longum,52.6,100.0,35.7,12.1,Suffuf al-Tib (Polvo aromatico de Avicena),52.6
f116v,2,2,0,(none),Theriac Magna (Triaca de Andromachus),0,,0,0,0.0,3.1,Mithridatium,0
