Folio,Rank,Recipe,F1,N_Overlap,Overlap_Ingredients
f100r,4,Rosata Novella,66.7,5,Cinnamomum|Crocus|Galanga|Nux moschata|Saccharum
f100r,5,Letitia Galeni,63.6,7,Cardamomum|Cinnamomum|Crocus|Cubeba|Galanga|Nux moschata|Saccharum
f100v,1,Diaciminum (Electuario de Comino),50.0,4,Amomum|Mel despumatum|Piper longum|Piper nigrum
f100v,2,Electuarium Justinum,42.1,4,Amomum|Mel despumatum|Piper longum|Piper nigrum
f100v,3,Theriac Abulcasis (contra venenos),42.1,4,Galbanum|Mel despumatum|Piper longum|Piper nigrum
f100v,4,Confectio Anacardia,40.0,3,Mel despumatum|Piper longum|Piper nigrum
f100v,5,Electuarium Diaspermaton,40.0,3,Amomum|Mel despumatum|Piper longum
f101r,1,Electuarium Justinum,61.5,8,Amomum|Casia|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f101r,2,Paulinum,56.0,7,Casia|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f101r,3,Theodoricon Euporistum,55.2,8,Amomum|Casia|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f101r,4,Trifera Magna,55.0,11,Amomum|Casia|Cinnamomum|Crocus|Cubeba|Galanga|Mel despumatum|Myrrha|Nux moschata|Piper longum|Piper nigrum
f101r,5,Trifera Saracenica,53.8,7,Casia|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f101v,1,Trifera Saracenica,57.1,6,Cardamomum|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper nigrum
f101v,2,Electuarium Justinum,57.1,6,Cardamomum|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper nigrum
f101v,3,Theriac Abulcasis (contra venenos),57.1,6,Cinnamomum|Crocus|Galbanum|Mel despumatum|Myrrha|Piper nigrum
f101v,4,Philonium Romanum,55.6,5,Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper nigrum
f101v,5,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),52.6,5,Cardamomum|Cinnamomum|Crocus|Mel despumatum|Piper nigrum
f102r,1,Trifera Saracenica,54.5,6,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper nigrum
f102r,2,Electuarium Justinum,54.5,6,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper nigrum
f102r,3,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),50.0,5,Cardamomum|Casia|Crocus|Mel despumatum|Piper nigrum
f102r,4,Theodoricon Euporistum,48.0,6,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper nigrum
f102r,5,Paulinum,47.6,5,Casia|Crocus|Mel despumatum|Myrrha|Piper nigrum
f102v,1,Trifera Saracenica,57.1,6,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum
f102v,2,Electuarium Justinum,57.1,6,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum
f102v,3,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),52.6,5,Cardamomum|Casia|Crocus|Mel despumatum|Piper longum
f102v,4,Antidotum Hadriani,52.6,5,Casia|Crocus|Mel despumatum|Myrrha|Piper longum
f102v,5,Theodoricon Euporistum,50.0,6,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum
f103r,1,Electuarium Justinum,52.6,5,Amomum|Cardamomum|Crocus|Myrrha|Piper longum
f103r,2,Theodoricon Euporistum,45.5,5,Amomum|Cardamomum|Crocus|Myrrha|Piper longum
f103r,3,Trifera Saracenica,42.1,4,Cardamomum|Crocus|Myrrha|Piper longum
f103r,4,Electuarium Diacostum,37.5,3,Amomum|Cardamomum|Piper longum
f103r,5,Philonium Romanum,37.5,3,Crocus|Myrrha|Piper longum
f103v,1,Electuarium Justinum,60.0,6,Amomum|Cardamomum|Cinnamomum|Crocus|Myrrha|Piper longum
f103v,2,Theodoricon Euporistum,52.2,6,Amomum|Cardamomum|Cinnamomum|Crocus|Myrrha|Piper longum
f103v,3,Trifera Saracenica,50.0,5,Cardamomum|Cinnamomum|Crocus|Myrrha|Piper longum
f103v,4,Electuarium Diacostum,47.1,4,Amomum|Cardamomum|Cinnamomum|Piper longum
f103v,5,Philonium Romanum,47.1,4,Cinnamomum|Crocus|Myrrha|Piper longum
f104r,1,Electuarium Justinum,57.1,6,Amomum|Cardamomum|Crocus|Mel despumatum|Myrrha|Piper longum
f104r,2,Theodoricon Euporistum,50.0,6,Amomum|Cardamomum|Crocus|Mel despumatum|Myrrha|Piper longum
f104r,3,Trifera Saracenica,47.6,5,Cardamomum|Crocus|Mel despumatum|Myrrha|Piper longum
f104r,4,Theriac Abulcasis (contra venenos),47.6,5,Crocus|Galbanum|Mel despumatum|Myrrha|Piper longum
f104r,5,Electuarium Diacostum,44.4,4,Amomum|Cardamomum|Mel despumatum|Piper longum
f104v,1,Trifera Saracenica,57.1,6,Cardamomum|Casia|Cinnamomum|Crocus|Myrrha|Piper longum
f104v,2,Electuarium Justinum,57.1,6,Cardamomum|Casia|Cinnamomum|Crocus|Myrrha|Piper longum
f104v,3,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),52.6,5,Cardamomum|Casia|Cinnamomum|Crocus|Piper longum
f104v,4,Antidotum Hadriani,52.6,5,Casia|Cinnamomum|Crocus|Myrrha|Piper longum
f104v,5,Theodoricon Euporistum,50.0,6,Cardamomum|Casia|Cinnamomum|Crocus|Myrrha|Piper longum
f105r,1,Trifera Saracenica,63.6,7,Cardamomum|Casia|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper longum
f105r,2,Electuarium Justinum,63.6,7,Cardamomum|Casia|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper longum
f105r,3,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),60.0,6,Cardamomum|Casia|Cinnamomum|Crocus|Mel despumatum|Piper longum
f105r,4,Antidotum Hadriani,60.0,6,Casia|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper longum
f105r,5,Paulinum,57.1,6,Casia|Cinnamomum|Crocus|Mel despumatum|Myrrha|Piper longum
f105v,1,Electuarium Justinum,57.1,6,Amomum|Cardamomum|Crocus|Myrrha|Piper longum|Piper nigrum
f105v,2,Theodoricon Euporistum,50.0,6,Amomum|Cardamomum|Crocus|Myrrha|Piper longum|Piper nigrum
f105v,3,Trifera Saracenica,47.6,5,Cardamomum|Crocus|Myrrha|Piper longum|Piper nigrum
f105v,4,Theriac Abulcasis (contra venenos),47.6,5,Crocus|Myrrha|Opopanax|Piper longum|Piper nigrum
f105v,5,Philonium Romanum,44.4,4,Crocus|Myrrha|Piper longum|Piper nigrum
f106r,1,Trifera Saracenica,63.6,7,Cardamomum|Casia|Cinnamomum|Crocus|Myrrha|Piper longum|Piper nigrum
f106r,2,Electuarium Justinum,63.6,7,Cardamomum|Casia|Cinnamomum|Crocus|Myrrha|Piper longum|Piper nigrum
