Stem,Type,N_Present,N_Absent,Present_Recipes,Absent_Recipes,Best_Candidate,Best_Category,Best_Score,Pos_Score,Neg_Score,Discriminativity,N_Candidates,All_Candidates,Confidence
K1A3,GEN,4,8,"Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Trifera Magna, Unguentum Apostolorum",Cinnamomum,ESPECIA,0.607,1.0,0.125,0.348,1,Cinnamomum(0.607),UNIQUE
K1J1,UNK,4,7,"Aurea Alexandrina, Diaciminum, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Unguentum Apostolorum",Piper nigrum,ESPECIA,0.862,1.0,0.714,0.739,5,Piper nigrum(0.862) | Piper longum(0.802) | Zingiber(0.742) | Mel despumatum(0.733) | Cinnamomum(0.612),MODERATE
K1J1A1B1A3,UNK,4,8,"Confectio Hamech, Diascordium, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Zingiber,ESPECIA,0.726,1.0,0.375,0.565,3,Zingiber(0.726) | Mel despumatum(0.717) | Cinnamomum(0.607),AMBIGUOUS
Q2A1,GEN,4,8,"Aurea Alexandrina, Confectio Hamech, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Zingiber,ESPECIA,0.726,1.0,0.375,0.565,3,Zingiber(0.726) | Mel despumatum(0.717) | Cinnamomum(0.607),AMBIGUOUS
Q2J1A1B1A3,UNK,4,7,"Confectio Hamech, Philonium Persicum, Pillulae Aureae, Trifera Magna","Aurea Alexandrina, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Trifera Magna, Unguentum Apostolorum",Cinnamomum,ESPECIA,0.612,1.0,0.143,0.348,1,Cinnamomum(0.612),UNIQUE
U2A1,GEN,4,8,"Aurea Alexandrina, Confectio Hamech, Diascordium, Trifera Magna","Aurea Alexandrina, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Zingiber,ESPECIA,0.726,1.0,0.375,0.565,3,Zingiber(0.726) | Mel despumatum(0.717) | Cinnamomum(0.607),AMBIGUOUS
A1B2A3,EXCL,3,9,"Aurea Alexandrina, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Piper nigrum,ESPECIA,0.814,1.0,0.556,0.739,10,Piper nigrum(0.814) | Opium(0.806) | Castoreum(0.806) | Casia(0.806) | Myrrha(0.797),AMBIGUOUS
A1B2B1,UNK,3,9,"Aurea Alexandrina, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Piper nigrum,ESPECIA,0.814,1.0,0.556,0.739,10,Piper nigrum(0.814) | Opium(0.806) | Castoreum(0.806) | Casia(0.806) | Myrrha(0.797),AMBIGUOUS
A1B2K1J1,UNK,3,8,"Philonium Persicum, Pillulae Aureae, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Trifera Magna, Unguentum Apostolorum",Crocus,ESPECIA,0.763,1.0,0.5,0.565,2,Crocus(0.763) | Cinnamomum(0.607),STRONG
A1B2K1J1A1,UNK,3,8,"Diamargariton, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Cardamomum,ESPECIA,0.89,1.0,0.75,0.826,4,Cardamomum(0.890) | Casia(0.827) | Crocus(0.763) | Cinnamomum(0.607),MODERATE
A1B2L1,UNK,3,9,"Aurea Alexandrina, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Piper nigrum,ESPECIA,0.814,1.0,0.556,0.739,10,Piper nigrum(0.814) | Opium(0.806) | Castoreum(0.806) | Casia(0.806) | Myrrha(0.797),AMBIGUOUS
A1B2Q1A3,UNK,3,9,"Aurea Alexandrina, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Piper nigrum,ESPECIA,0.814,1.0,0.556,0.739,10,Piper nigrum(0.814) | Opium(0.806) | Castoreum(0.806) | Casia(0.806) | Myrrha(0.797),AMBIGUOUS
A1P1A1,UNK,3,9,"Diascordium, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Opium,ACTIVO,0.806,1.0,0.556,0.696,6,Opium(0.806) | Castoreum(0.806) | Piper longum(0.764) | Zingiber(0.713) | Mel despumatum(0.704),AMBIGUOUS
A1Q1J1,UNK,3,8,"Philonium Persicum, Trifera Magna, Unguentum Apostolorum","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna",Myrrha,ESPECIA,0.818,1.0,0.625,0.652,1,Myrrha(0.818),UNIQUE
A1Q1J1A1Ba,UNK,3,9,"Aurea Alexandrina, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Piper nigrum,ESPECIA,0.814,1.0,0.556,0.739,10,Piper nigrum(0.814) | Opium(0.806) | Castoreum(0.806) | Casia(0.806) | Myrrha(0.797),AMBIGUOUS
A1Q1K2,UNK,3,8,"Confectio Hamech, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Zingiber,ESPECIA,0.726,1.0,0.375,0.565,3,Zingiber(0.726) | Mel despumatum(0.717) | Cinnamomum(0.607),AMBIGUOUS
A1Q2A1C1A3,UNK,3,9,"Aurea Alexandrina, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Piper nigrum,ESPECIA,0.814,1.0,0.556,0.739,10,Piper nigrum(0.814) | Opium(0.806) | Castoreum(0.806) | Casia(0.806) | Myrrha(0.797),AMBIGUOUS
A1Q2A3B2A3,UNK,3,9,"Aurea Alexandrina, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Piper nigrum,ESPECIA,0.814,1.0,0.556,0.739,10,Piper nigrum(0.814) | Opium(0.806) | Castoreum(0.806) | Casia(0.806) | Myrrha(0.797),AMBIGUOUS
A1Q2J1,UNK,3,9,"Aurea Alexandrina, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Piper nigrum,ESPECIA,0.814,1.0,0.556,0.739,10,Piper nigrum(0.814) | Opium(0.806) | Castoreum(0.806) | Casia(0.806) | Myrrha(0.797),AMBIGUOUS
A1Q2J1A1B1,UNK,3,8,"Confectio Hamech, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Zingiber,ESPECIA,0.726,1.0,0.375,0.565,3,Zingiber(0.726) | Mel despumatum(0.717) | Cinnamomum(0.607),AMBIGUOUS
A1Q2K2A1,UNK,3,9,"Aurea Alexandrina, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Piper nigrum,ESPECIA,0.814,1.0,0.556,0.739,10,Piper nigrum(0.814) | Opium(0.806) | Castoreum(0.806) | Casia(0.806) | Myrrha(0.797),AMBIGUOUS
A2,UNK,3,9,"Diascordium, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Opium,ACTIVO,0.806,1.0,0.556,0.696,6,Opium(0.806) | Castoreum(0.806) | Piper longum(0.764) | Zingiber(0.713) | Mel despumatum(0.704),AMBIGUOUS
A2A3,UNK,3,8,"Aurea Alexandrina, Diamargariton, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Casia,ESPECIA,0.827,1.0,0.625,0.696,3,Casia(0.827) | Crocus(0.763) | Cinnamomum(0.607),MODERATE
A2K1A1,GEN,3,9,"Aurea Alexandrina, Diascordium, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Opium,ACTIVO,0.806,1.0,0.556,0.696,6,Opium(0.806) | Castoreum(0.806) | Piper longum(0.764) | Zingiber(0.713) | Mel despumatum(0.704),AMBIGUOUS
A2Q1K2,UNK,3,9,"Aurea Alexandrina, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Piper nigrum,ESPECIA,0.814,1.0,0.556,0.739,10,Piper nigrum(0.814) | Opium(0.806) | Castoreum(0.806) | Casia(0.806) | Myrrha(0.797),AMBIGUOUS
A2Q2J1A1,UNK,3,8,"Philonium Persicum, Pillulae Aureae, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Trifera Magna, Unguentum Apostolorum",Crocus,ESPECIA,0.763,1.0,0.5,0.565,2,Crocus(0.763) | Cinnamomum(0.607),STRONG
A2Q2K2A1B1,UNK,3,8,"Diascordium, Pillulae Aureae, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Trifera Magna, Unguentum Apostolorum",Cinnamomum,ESPECIA,0.607,1.0,0.125,0.348,1,Cinnamomum(0.607),UNIQUE
Aa,UNK,3,9,"Aurea Alexandrina, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Piper nigrum,ESPECIA,0.814,1.0,0.556,0.739,10,Piper nigrum(0.814) | Opium(0.806) | Castoreum(0.806) | Casia(0.806) | Myrrha(0.797),AMBIGUOUS
B1A1,GEN,3,9,"Aurea Alexandrina, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Piper nigrum,ESPECIA,0.814,1.0,0.556,0.739,10,Piper nigrum(0.814) | Opium(0.806) | Castoreum(0.806) | Casia(0.806) | Myrrha(0.797),AMBIGUOUS
