Folio,Recipe,F1,N_TP
f101v,Electuarium Diaspermaton,42.9,3
f101v,Philonium Romanum,80.0,6
f101v,Theriac Diatessaron Magna,46.2,3
f102r,Theriac Magna (Triaca de Andromachus),64.0,8
f102r,Mithridatium,78.3,9
f102r,Diascordium,31.6,3
f102r,Pillulae Cochiae,18.2,1
f102r,Pillulae Aureae,15.4,1
f102r,Unguentum Apostolorum,42.9,3
f102r,Electuarium de Succo Rosarum,15.4,1
f102r,Aurea Alexandrina,66.7,7
f102r,Confectio Hamech,26.7,2
f102r,Hiera Picra (Hiera de Galeno),42.9,3
f102r,Trifera Magna,74.1,10
f102r,Diamargariton (Electuario de Perlas),33.3,3
f102r,Diaciminum (Electuario de Comino),37.5,3
f102r,Unguentum Basilicon,0,0
f102r,Unguentum Populeon,0,0
f102r,Pillulae de Hiera cum Agarico,15.4,1
f102r,Pillulae Fetidae (Pildoras Fetidas),53.3,4
f102r,Requies Magna (Requies Nicolai),13.3,1
f102r,Diacodion (Jarabe de Adormidera),0,0
f102r,Dialtea (Ungueento de Altea),0,0
f102r,Philonium Persicum,76.2,8
f102r,Oximel Compositum,28.6,2
f102r,Theriac Diatessaron,30.8,2
f102r,Theodoricon Euporistum,72.7,8
f102r,Diasatyrion,42.1,4
f102r,Diarodon Abbatis,31.6,3
f102r,Rosata Novella,12.5,1
f102r,Letitia Galeni,22.2,2
f102r,Trifera Saracenica,80.0,8
f102r,Paulinum,70.0,7
f102r,Electuarium Justinum,66.7,7
f102r,Electuarium de Baccis Lauri,35.3,3
f102r,Syrupus de Fumaria,0,0
f102r,Confectio Anacardia,58.8,5
f102r,Electuarium Diacostum,47.1,4
f102r,Unguentum Marciaton,0,0
f102r,Suffuf al-Tib (Polvo aromatico de Avicena),35.3,3
f102r,Itrifal Ustukhudus (Electuario de Espliego),40.0,3
f102r,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),30.8,2
f102r,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),66.7,6
f102r,Unguentum Abulcasis (de vulneribus),18.2,1
f102r,Theriac Abulcasis (contra venenos),66.7,7
f102r,Antidotum Hadriani,63.2,6
f102r,Electuarium Ducis,26.7,2
f102r,Benedicta Laxativa,28.6,2
f102r,Diatragacanthi,0,0
f102r,Dianucum (Electuario de Nueces),53.3,4
f102r,Electuarium Diaspermaton,25.0,2
f102r,Philonium Romanum,58.8,5
f102r,Theriac Diatessaron Magna,40.0,3
f102v,Theriac Magna (Triaca de Andromachus),60.9,7
f102v,Mithridatium,66.7,7
f102v,Diascordium,47.1,4
f102v,Pillulae Cochiae,0,0
f102v,Pillulae Aureae,18.2,1
f102v,Unguentum Apostolorum,33.3,2
f102v,Electuarium de Succo Rosarum,18.2,1
f102v,Aurea Alexandrina,63.2,6
f102v,Confectio Hamech,30.8,2
f102v,Hiera Picra (Hiera de Galeno),50.0,3
f102v,Trifera Magna,56.0,7
f102v,Diamargariton (Electuario de Perlas),37.5,3
f102v,Diaciminum (Electuario de Comino),42.9,3
f102v,Unguentum Basilicon,22.2,1
f102v,Unguentum Populeon,0,0
f102v,Pillulae de Hiera cum Agarico,18.2,1
f102v,Pillulae Fetidae (Pildoras Fetidas),30.8,2
