Folio,Recipe,F1,Overlap,Folio_N,Recipe_N,Overlap_Ingredients
f88r,Philonium Persicum,41.4,6,11,18,Cardamomum|Casia|Crocus|Mel despumatum|Piper longum|Piper nigrum
f88r,Oximel Compositum,19.0,2,11,10,Mel despumatum|Piper longum
f88r,Theriac Diatessaron,12.5,1,11,5,Mel despumatum
f88r,Theodoricon Euporistum,42.9,6,11,17,Cardamomum|Casia|Crocus|Mel despumatum|Piper longum|Piper nigrum
f88r,Diasatyrion,48.0,6,11,14,Cardamomum|Crocus|Galanga|Mel despumatum|Nux moschata|Piper longum
f88r,Diarodon Abbatis,44.4,6,11,16,Cardamomum|Casia|Crocus|Cubeba|Galanga|Nux moschata
f88r,Rosata Novella,33.3,3,11,7,Crocus|Galanga|Nux moschata
f88r,Letitia Galeni,40.0,5,11,14,Cardamomum|Crocus|Cubeba|Galanga|Nux moschata
f88r,Trifera Saracenica,48.0,6,11,14,Cardamomum|Casia|Crocus|Mel despumatum|Piper longum|Piper nigrum
f88r,Paulinum,41.7,5,11,13,Casia|Crocus|Mel despumatum|Piper longum|Piper nigrum
f88r,Electuarium Justinum,48.0,6,11,14,Cardamomum|Casia|Crocus|Mel despumatum|Piper longum|Piper nigrum
f88r,Electuarium de Baccis Lauri,18.2,2,11,11,Mel despumatum|Piper longum
f88r,Syrupus de Fumaria,0.0,0,11,9,
f88r,Confectio Anacardia,38.1,4,11,10,Crocus|Mel despumatum|Piper longum|Piper nigrum
f88r,Electuarium Diacostum,36.4,4,11,11,Cardamomum|Casia|Mel despumatum|Piper longum
f88r,Unguentum Marciaton,0.0,0,11,10,
f88r,Suffuf al-Tib (Polvo aromatico de Avicena),50.0,5,11,9,Cardamomum|Casia|Crocus|Galanga|Nux moschata
f88r,Itrifal Ustukhudus (Electuario de Espliego),17.4,2,11,12,Crocus|Mel despumatum
f88r,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),12.5,1,11,5,Mel despumatum
f88r,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),52.2,6,11,12,Cardamomum|Casia|Crocus|Mel despumatum|Piper longum|Piper nigrum
f88r,Unguentum Abulcasis (de vulneribus),0.0,0,11,8,
f88r,Theriac Abulcasis (contra venenos),48.0,6,11,14,Crocus|Galbanum|Mel despumatum|Opopanax|Piper longum|Piper nigrum
f88r,Antidotum Hadriani,34.8,4,11,12,Casia|Crocus|Mel despumatum|Piper longum
f88r,Electuarium Ducis,18.2,2,11,11,Mel despumatum|Piper longum
f88r,Benedicta Laxativa,8.7,1,11,12,Crocus
f88r,Diatragacanthi,0.0,0,11,6,
f88r,Dianucum (Electuario de Nueces),20.0,2,11,9,Mel despumatum|Piper nigrum
f88r,Electuarium Diaspermaton,19.0,2,11,10,Mel despumatum|Piper longum
f88r,Philonium Romanum,36.4,4,11,11,Crocus|Mel despumatum|Piper longum|Piper nigrum
f88r,Theriac Diatessaron Magna,10.5,1,11,8,Mel despumatum
f88v,Theriac Magna (Triaca de Andromachus),33.3,7,8,34,Casia|Crocus|Galbanum|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f88v,Mithridatium,36.8,7,8,30,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f88v,Diascordium,28.6,3,8,13,Galbanum|Mel despumatum|Piper longum
f88v,Pillulae Cochiae,0.0,0,8,6,
f88v,Pillulae Aureae,13.3,1,8,7,Crocus
f88v,Unguentum Apostolorum,20.0,2,8,12,Galbanum|Myrrha
f88v,Electuarium de Succo Rosarum,0.0,0,8,8,
f88v,Aurea Alexandrina,40.0,6,8,22,Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f88v,Confectio Hamech,8.7,1,8,15,Mel despumatum
f88v,Hiera Picra (Hiera de Galeno),33.3,3,8,10,Casia|Crocus|Mel despumatum
f88v,Trifera Magna,38.9,7,8,28,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f88v,Diamargariton (Electuario de Perlas),25.0,3,8,16,Cardamomum|Casia|Crocus
f88v,Diaciminum (Electuario de Comino),31.6,3,8,11,Mel despumatum|Piper longum|Piper nigrum
f88v,Unguentum Basilicon,13.3,1,8,7,Galbanum
f88v,Unguentum Populeon,0.0,0,8,12,
f88v,Pillulae de Hiera cum Agarico,11.8,1,8,9,Crocus
f88v,Pillulae Fetidae (Pildoras Fetidas),25.0,2,8,8,Galbanum|Myrrha
f88v,Requies Magna (Requies Nicolai),8.0,1,8,17,Crocus
f88v,Diacodion (Jarabe de Adormidera),0.0,0,8,6,
f88v,Dialtea (Ungueento de Altea),0.0,0,8,10,
f88v,Philonium Persicum,53.8,7,8,18,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f88v,Oximel Compositum,22.2,2,8,10,Mel despumatum|Piper longum
f88v,Theriac Diatessaron,30.8,2,8,5,Mel despumatum|Myrrha
f88v,Theodoricon Euporistum,56.0,7,8,17,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f88v,Diasatyrion,36.4,4,8,14,Cardamomum|Crocus|Mel despumatum|Piper longum
f88v,Diarodon Abbatis,25.0,3,8,16,Cardamomum|Casia|Crocus
f88v,Rosata Novella,13.3,1,8,7,Crocus
f88v,Letitia Galeni,18.2,2,8,14,Cardamomum|Crocus
f88v,Trifera Saracenica,63.6,7,8,14,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f88v,Paulinum,57.1,6,8,13,Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f88v,Electuarium Justinum,63.6,7,8,14,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f88v,Electuarium de Baccis Lauri,31.6,3,8,11,Mel despumatum|Myrrha|Piper longum
f88v,Syrupus de Fumaria,0.0,0,8,9,
f88v,Confectio Anacardia,44.4,4,8,10,Crocus|Mel despumatum|Piper longum|Piper nigrum
f88v,Electuarium Diacostum,42.1,4,8,11,Cardamomum|Casia|Mel despumatum|Piper longum
f88v,Unguentum Marciaton,0.0,0,8,10,
f88v,Suffuf al-Tib (Polvo aromatico de Avicena),35.3,3,8,9,Cardamomum|Casia|Crocus
f88v,Itrifal Ustukhudus (Electuario de Espliego),20.0,2,8,12,Crocus|Mel despumatum
f88v,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),30.8,2,8,5,Mel despumatum|Myrrha
f88v,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),60.0,6,8,12,Cardamomum|Casia|Crocus|Mel despumatum|Piper longum|Piper nigrum
f88v,Unguentum Abulcasis (de vulneribus),12.5,1,8,8,Myrrha
f88v,Theriac Abulcasis (contra venenos),54.5,6,8,14,Crocus|Galbanum|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f88v,Antidotum Hadriani,50.0,5,8,12,Casia|Crocus|Mel despumatum|Myrrha|Piper longum
f88v,Electuarium Ducis,21.1,2,8,11,Mel despumatum|Piper longum
f88v,Benedicta Laxativa,10.0,1,8,12,Crocus
f88v,Diatragacanthi,0.0,0,8,6,
f88v,Dianucum (Electuario de Nueces),23.5,2,8,9,Mel despumatum|Piper nigrum
f88v,Electuarium Diaspermaton,22.2,2,8,10,Mel despumatum|Piper longum
f88v,Philonium Romanum,52.6,5,8,11,Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f88v,Theriac Diatessaron Magna,25.0,2,8,8,Mel despumatum|Myrrha
f89r,Theriac Magna (Triaca de Andromachus),36.4,8,10,34,Casia|Crocus|Mel despumatum|Myrrha|Opopanax|Piper longum|Piper nigrum|Styrax
f89r,Mithridatium,40.0,8,10,30,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Opopanax|Piper longum|Piper nigrum
f89r,Diascordium,26.1,3,10,13,Mel despumatum|Piper longum|Styrax
